WOMEN IN STATE LEGISLATURES 2008 ,,,,,,,
,,,,,,,
STATE ,D,R,TOTAL WOMEN, TOTAL HOUSE ,TOTAL WOM./ ,TOTAL LEGIS. ,% WOMEN OVERALL 
AL ,11,3,14,105,18,140,12.9
AK ,6,4,10,40,13,60,21.7
AZ ,9,8,17,60,31,90,34.4
AR ,18,4,22,100,28,135,20.7
CA ,17,6,23,80,33,120,27.5
CO,21,5,26,65,36,100,36
CT ,31,14,45,151,53,187,28.3
DE ,7,5,10,41,19,62,30.6
FL ,16,11,27,120,37,160,23.1
GA ,29,10,39,180,47,236,19.9
HI ,11,7,18,51,25,76,32.9
ID ,12,7,19,70,25,105,23.8
IL ,23,12,35,118,48,177,27.1
IN ,10,6,16,100,28,150,18.7
lA ,19,9,28,100,34,150,22.7
KS ,19,16,35,125,48,165,29.1
KY ,10,3,13,100,18,138,13
LA ,10,4,14,105,22,144,15.3
ME,35,11,46,151,58,186,31.2
MD ,38,10,48,141,59,188,31.4
MA ,34,4,38,160,50,200,25
MI,16,4,20,110,29,148,19.6
MN ,35,8,43,134,70,201,34.8
MS ,17,4,21,122,25,174,14.4
MO ,23,10,33,163,40,197,20.3
MT ,20,8,28,100,37,150,24.7
NE ,UNICAMERAL ,,9,49,9,49,18.4
NV ,10,3,13,42,19,63,30.2
NH,99,40,140,400,160,424,35.4
NJ ,18,8,26,80,35,120,29.2
NM ,10,12,22,70,34,112,30.4
NY ,34,5,39,150,50,212,23.6
NC ,26,12,38,120,45,170,26.5
ND ,7,11,18,94,24,141,17
OH ,12,6,18,99,24,132,18.2
OK ,3,9,12,101,19,149,12.8
OR ,11,8,19,60,29,90,32.2
PA ,11,16,27,203,37,263,14.6
RI,13,2,15,75,22,113,19.5
SC,8,5,13,124,15,170,8.8
SD,3,10,13,70,18,105,17.1
TN ,10,5,15,99,23,132,17.4
TX ,18,12,30,150,34,181,18.8
UT ,9,7,16,75,20,104,19.2
VT ,41,15,59,150,69,180,38.3
VA ,10,5,15,100,23,140,16.4
WA,23,9,32,98,52,147,35.4
WV,12,5,17,100,19,134,14.2
WI ,13,9,22,99,29,132,22
WY ,8,9,17,60,21,90,23.3
