WOMEN IN STATE LEGISLATURES 2010 ,,,,,,,
,,,,,,,
STATE ,D,R,TOTAL WOMEN,TOTAL HOUSE,TOTALWOM./ ,TOTAL LEGIS. ,%WOMEN OVERALL
AL ,10,3,13,105,18,140,12.9
AK ,4,6,10,40,13,60,21.7
AZ ,9,9,18,60,29,90,32.2
AR ,16,9,25,100,31,135,23
CA ,16,4,20,80,32,120,26.7
co ,19,6,25,65,38,100,38
CT ,40,12,52,151,60,187,32.1
DE ,5,3,8,41,16,62,25.8
FL ,15,14,29,120,38,160,23.8
GA ,27,11,38,180,46,236,19.5
HI ,13,5,18,51,25,76,32.9
ID ,11,7,18,70,27,105,25.7
IL ,25,12,37,118,50,177,28.2
IN ,13,7,20,100,32,150,21.3
lA ,20,6,26,100,35,150,23.3
KS ,21,15,36,125,50,165,30.3
KY ,11,4,15,100,22,138,15.9
LA ,11,4,15,105,23,144,16
ME ,36,10,46,151,54,186,29
MD ,38,11,49,141,59,188,31.4
MA ,36,3,39,160,51,200,25.5
MI,22,6,28,110,37,148,25
MN ,33,10,43,134,70,201,34.8
MS ,17,4,21,122,25,174,14.4
MO ,26,10,36,163,44,197,22.3
MT ,23,6,29,100,39,150,26
NE ,UNICAMERAL,,10,49,10,49,20.4
NV ,11,2,13,42,20,63,31.7
NH ,101,42,143,400,156,424,36.8
NJ ,16,8,24,80,34,120,28.3
NM ,13,10,23,70,34,112,30.4
NY ,35,6,41,150,51,212,24.1
NC ,26,12,38,120,44,170,25.9
ND ,7,10,17,94,23,141,16.3
OH* ,17,5,22,99,29,132,22
OK ,3,9,12,101,17,149,11.4
OR ,13,3,16,60,26,90,28.9
PA ,11,18,29,203,39,253,15.4
RI* ,17,0,17,75,25,113,22.1
sc ,8,9,17,124,17,170,10
SD ,5,9,14,70,21,105,20
TN ,12,5,17,99,25,132,18.9
TX ,24,13,37,150,43,181,23.8
UT* ,11,7,18,75,23,104,22.1
VT ,42,10,56,150,67,180,37.2
VA ,13,6,19,100,27,140,19.3
WA ,21,8,29,98,48,147,32.7
wv ,15,5,20,100,22,134,16.4
WI* ,16,6,22,99,29,132,22
WY ,6,7,13,60,15,90,16.7
