WOMEN IN STATE LEGISLATURES 2012 ,,,,,,,
,,,,,,,
STATE ,D,R,TOTAL WOMEN,TOTAL HOUSE,TOTAL WOM./ ,TOTAL LEGIS. ,% WOMEN OVERALL 
AL ,9,5,14,105,19,140,13.6
AK ,4,7,11,40,15,60,25
AZ ,7,12,19,60,30,90,33.3
AR* ,11,11,22,100,30,135,22.2
CA ,16,6,22,80,34,120,28.3
co ,14,9,23,65,40,100,40
CT ,32,15,47,151,56,187,29.9
DE ,7,2,9,41,16,62,25.8
FL ,12,15,27,120,41,160,25.6
GA ,30,17,47,180,56,236,23.7
HI ,14,4,18,51,27,76,35.5
ID ,8,12,20,70,29,105,27.6
IL ,28,11,39,118,55,177,31.1
IN* ,11,10,21,100,32,150,21.3
lA* ,16,8,24,100,32,150,21.3
KS ,14,19,33,125,45,165,27.3
KY ,11,9,20,100,26,138,18.8
LA ,9,3,12,105,16,144,11.1
ME ,27,19,46,151,54,186,29
MD ,35,12,47,141,58,188,30.9
MA ,32,6,38,160,49,200,24.5
MI,16,11,27,110,31,148,20.9
MN ,27,18,45,134,66,201,32.8
MS ,15,6,21,122,28,174,16.1
MO ,23,18,41,163,47,197,23.9
MT ,19,9,28,100,36,150,24
NE ,UNICAMERAL,,11,49,11,49,22.4
NV ,11,1,12,42,16,63,25.4
NH ,40,58,98,400,104,424,24.5
NJ ,15,9,24,80,35,120,29.2
NM ,12,8,20,70,31,112,27.7
NY* ,29,7,36,150,47,212,22.2
NC ,23,13,36,120,42,170,24.7
ND* ,3,12,15,94,22,141,15.6
OH ,12,11,23,99,31,132,23.5
OK ,4,10,14,101,19,149,12.8
OR ,12,5,17,60,26,90,28.9
PA ,14,19,33,203,43,253,17
RI,17,2,19,75,29,113,25.7
sc ,8,9,17,124,17,170,10
SD ,4,10,14,70,21,105,20
TN ,11,6,17,99,24,132,18.2
TX ,13,19,32,150,38,181,21
UT ,8,4,12,75,17,104,16.3
VT ,44,11,59,150,70,180,38.9
VA ,11,7,18,100,24,140,17.1
WA ,19,10,29,98,47,147,32
wv ,15,7,22,100,24,134,17.9
WI ,16,7,23,99,32,132,24.2
WY,3,10,13,60,14,90,15.6
