2014 Data,From NCSL,,,,,,,,,,,,,,,,,,,,,,,,
STATE,,D,R,Total Women, TOTAL HOUSE ,,,,,,,,,,,,,,,,,,,,
AL,Women in the House,9,6,15,105,,,,,,,,,,,,,,,,,Women in the Senate,4 D | 0 R | 1 Other = Total: 5,20,14.3
AK,Women in the House,2,10,12,40,,,,,,,,,,,,,,,,,Women in the Senate,1 D | 3 R = Total: 4,16,26.7
AZ,Women in the House,11,8,19,60,,,,,,,,,,,,,,,,,Women in the Senate,7 D | 6 R = Total: 13,32,35.6
AR,Women in the House,7,10,17,100,,,,,,,,,,,,,,,,,Women in the Senate,3 D | 3 R = Total: 6,23,17
CA,Women in the Assembly,13,7,20,80,,,,,,,,,,,,,,,,,Women in the Senate,10 D | 2 R = Total: 12,32,26.7
CO,Women in the House,18,10,28,65,,,,,,,,,,,,,,,,,Women in the Senate,11 D | 2 R = Total: 13,41,41
CT,Women in the House,28,17,45,151,,,,,,,,,,,,,,,,,Women in the Senate,7 D | 1 R = Total: 8,53,28.3
DE,Women in the House,8,2,10,41,,,,,,,,,,,,,,,,,Women in the Senate,5 D | 1 R = Total: 6,16,25.8
FL,Women in the House,16,13,29,120,,,,,,,,,,,,,,,,,Women in the Senate,6 D | 6 R = Total: 12,41,25.6
GA,Women in the House,29,16,45,180,,,,,,,,,,,,,,,,,Women in the Senate,7 D | 1 R = Total: 8,53,22.5
HI,Women in the House,13,3,16,51,,,,,,,,,,,,,,,,,Women in the Senate,8 D | 0 R = Total: 8,24,31.6
ID,Women in the House,8,14,22,70,,,,,,,,,,,,,,,,,Women in the Senate,3 D | 3 R = Total: 6,28,26.7
IL,Women in the House,30,10,40,118,,,,,,,,,,,,,,,,,Women in the Senate,11 D | 4 R = Total: 15,55,31.1
IN,Women in the House,12,10,22,100,,,,,,,,,,,,,,,,,Women in the Senate,3 D | 5 R = Total: 8,30,20
IA,Women in the House,19,6,25,100,,,,,,,,,,,,,,,,,Women in the Senate,6 D | 4 R = Total: 10,35,23.3
KS,Women in the House,16,13,29,125,,,,,,,,,,,,,,,,,Women in the Senate,4 D | 8 R = Total: 12,41,24.8
KY,Women in the House,10,9,19,100,,,,,,,,,,,,,,,,,Women in the Senate,2 D | 4 R = Total: 6,25,18.1
LA,Women in the House,9,5,14,105,,,,,,,,,,,,,,,,,Women in the Senate,3 D | 1 R = Total: 4,18,12.5
ME,Women in the House,34,13,47,151,,,,,,,,,,,,,,,,,Women in the Senate,8 D | 0 R = Total: 8,55,29.6
MD,Women in the House,34,12,46,141,,,,,,,,,,,,,,,,,Women in the Senate,10 D | 1 R = Total: 11,57,30.3
MA,Women in the House,30,7,37,160,,,,,,,,,,,,,,,,,Women in the Senate,12 D | 0 R = Total: 12,49,24.5
MI,Women in the House,16,8,24,110,,,,,,,,,,,,,,,,,Women in the Senate,2 D | 2 R = Total: 4,28,18.9
MN,Women in the House,28,17,45,134,,,,,,,,,,,,,,,,,Women in the Senate,15 D | 8 R = Total: 23,68,33.8
MS,Women in the House,16,6,22,122,,,,,,,,,,,,,,,,,Women in the Senate,2 D | 6 R = Total: 8,30,17.2
MO,Women in the House,19,19,38,163,,,,,,,,,,,,,,,,,Women in the Senate,5 D | 0 R = Total: 5,43,21.8
MT,Women in the House,22,8,30,100,,,,,,,,,,,,,,,,,Women in the Senate,5 D | 5 R = Total: 10,40,26.7
NE,Women in the Senate (unicameral),UNICAMERAL,,10,49,,,,,,,,,,,,,,,,,20.4 percent female legislators,,,
NV,Women in the Assembly,11,2,13,42,,,,,,,,,,,,,,,,,Women in the Senate,3 D | 1 R = Total: 4,17,27
NH,Women in the House,96,32,128,400,,,,,,,,,,,,,,,,,Women in the Senate,6 D | 3 R = Total: 9,137,32.3
NJ,Women in the Assembly,16,10,26,80,,,,,,,,,,,,,,,,,Women in the Senate,7 D | 3 R = Total: 10,36,30
NM,Women in the House,15,11,26,70,,,,,,,,,,,,,,,,,Women in the Senate,3 D | 3 R = Total: 6,32,28.6
NY,Women in the Assembly,30,4,34,150,,,,,,,,,,,,,,,,,Women in the Senate,7 D | 4 R = Total: 11,45,21.1
NC,Women in the House,15,13,28,120,,,,,,,,,,,,,,,,,Women in the Senate,4 D | 5 R = Total: 9,37,21.8
ND,Women in the House,7,9,16,94,,,,,,,,,,,,,,,,,Women in the Senate,3 D | 5 R = Total: 8,24,17
OH,Women in the House,11,12,23,99,,,,,,,,,,,,,,,,,Women in the Senate,5 D | 3 R = Total: 8,31,23.5
OK,Women in the House,5,11,16,101,,,,,,,,,,,,,,,,,Women in the Senate,2 D | 2 R = Total: 4,20,13.4
OR,Women in the House,15,5,20,60,,,,,,,,,,,,,,,,,Women in the Senate,5 D | 2 R = Total: 7,27,30
