State,Number of Women Legislators in the House / Assembly,Number of Women Legislators in the Senate,Total Number of Women Legislators,Total Seats in the Legislature,Percentage of Women in the Legislature
Alabama,15,5,20,140,14.30%
Alaska,12,4,16,60,26.70%
Arizona,19,13,32,90,35.60%
Arkansas,17,6,23,135,17.00%
California,20,12,32,120,26.70%
Colorado,28,13,41,100,41.00%
Connecticut,45,8,53,187,28.30%
Delaware,10,6,16,62,25.80%
Florida,29,12,41,160,25.60%
Georgia,45,8,53,236,22.50%
Hawaii,16,8,24,76,31.60%
Idaho,22,6,28,105,26.70%
Illinois,40,15,55,177,31.10%
Indiana,22,8,30,150,20.00%
Iowa,25,10,35,150,23.30%
Kansas,29,12,41,165,24.80%
Kentucky,19,6,25,138,18.10%
Louisiana,14,4,18,144,12.50%
Maine,47,8,55,186,29.60%
Maryland,46,11,57,188,30.30%
Massachusetts,37,12,49,200,24.50%
Michigan,24,4,28,148,18.90%
Minnesota,45,23,68,201,33.80%
Mississippi,22,8,30,174,17.20%
Missouri,38,5,43,197,21.80%
Montana,30,10,40,150,26.70%
Nebraska,Unicameral,10,10,49,20.40%
Nevada,13,4,17,63,27.00%
New Hampshire,128,9,137,424,32.30%
New Jersey,26,10,36,120,30.00%
New Mexico,26,6,32,112,28.60%
New York,34,11,45,213,21.10%
North Carolina,28,9,37,170,21.80%
North Dakota,16,8,24,141,17.00%
Ohio,23,8,31,132,23.50%
Oklahoma,16,4,20,149,13.40%
Oregon,20,7,27,90,30.00%
Pennsylvania,37,8,45,253,17.80%
Rhode Island,21,9,30,113,26.50%
South Carolina,21,1,22,170,12.90%
South Dakota,18,6,24,105,22.90%
Tennessee,16,7,23,132,17.40%
Texas,32,7,39,181,21.50%
Utah,12,5,17,104,16.30%
Vermont,65,8,73,180,40.60%
Virginia,17,7,24,140,17.10%
Washington,30,18,48,147,32.70%
West Virginia,21,1,22,134,16.40%
Wisconsin,25,9,34,132,25.80%
Wyoming,12,2,14,90,15.60%
TOTAL,"1,373",411,"1,784","7,383",24.20%
"
",,,,,
Partisan Composition of Women in State Legislatures,,,,,
Democratic Party,"1,133",,,,
Republican Party,636,,,,
Third Party,5,,,,
Nonpartisan (Nebraska),10,,,,
