lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,year
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA35120&tabIndex=1,H0CA35120," EDMONDSON, SULEIMAN CHARLES",H,CA,35,W,CHALLENGER,GARDENA ,CA,90249,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0LA00220&tabIndex=1,S0LA00220,"ACCARDO, NICK J.",S,LA,0,REP,CHALLENGER,FRANKLIN,LA,70538,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NY07011&tabIndex=1,H4NY07011,"ACKERMAN, GARY L.",H,NY,5,DEM,INCUMBENT,Roslyn Heights,NY,11577,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0IN04212&tabIndex=1,H0IN04212,"ACTON, JON DAVID",H,IN,4,REP,OPEN,BROWNSBURG,IN,46112,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0AZ03446&tabIndex=1,H0AZ03446,"ADAIR, CLAY",H,AZ,3,LIB,CHALLENGER,PHOENIX ,AZ,85053,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0WA08095&tabIndex=1,H0WA08095,"ADAIR, ROBIN",H,WA,8,OTH,CHALLENGER,BELLEVUE,WA,98009,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0FL17100&tabIndex=1,H0FL17100,"ADAM, LEROY",H,FL,17,DEM,OPEN,MIAMI,FL,33138,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL11175&tabIndex=1,H6FL11175,"ADAMS, EDDIE JR",H,FL,11,REP,OPEN,TAMPA,FL,33637,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0MD00390&tabIndex=1,S0MD00390,"ADAMS, JAMES GUY",S,MD,0,LIB,CHALLENGER,BALTIMORE,MD,21209,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0IL01160&tabIndex=1,H0IL01160,"ADAMS, JEFF",H,IL,1,GRE,CHALLENGER,CHICAGO,IL,60615,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NH02264&tabIndex=1,H0NH02264,"ADAMS, JIM",H,NH,2,REP,OPEN,PITTSFIELD,NH,3263,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0OH15099&tabIndex=1,H0OH15099,"ADAMS, JOHN",H,OH,15,REP,CHALLENGER,UPPER ARLINGTON,OH,43220,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0AR02149&tabIndex=1,H0AR02149,"ADAMS, JOHN",H,AR,2,DEM,OPEN,LITTLE ROCK,AR,72201,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0GA02225&tabIndex=1,H0GA02225,"ADAMS, RHUEDOLPH 'RUDY'",H,GA,2,REP,CHALLENGER,MONTEZUMA,GA,31063,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0RI01123&tabIndex=1,H0RI01123,"ADAMS, RICKY B.",H,RI,1,IND,OPEN,NEWPORT,RI,2840,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0FL24049&tabIndex=1,H0FL24049,"ADAMS, SANDY",H,FL,24,REP,CHALLENGER,ORLANDO,FL,32802,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0PA13080&tabIndex=1,H0PA13080,"ADCOCK, CARSON DEE",H,PA,13,REP,CHALLENGER,RYDAL,PA,19046,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0IN05144&tabIndex=1,H0IN05144,"ADCOOK, ANN B",H,IN,5,REP,CHALLENGER,INDIANAPOLIS,IN,46256,2010
