lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,year
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60013794&tabIndex=1,P60013794,"A WANDRLUSTR, DOT COM",P,US,0,NAP,OPEN,CANTERBURY,CT,6331,2016
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60016268&tabIndex=1,P60016268,"A$$, DAT PHAT",P,US,0,REP,OPEN,SPOKANE,WA,99205,2016
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60010535&tabIndex=1,P60010535,"AAA, TRUEPROSNC",P,US,0,REP,OPEN,FRANKLINTON,NC,27525,2016
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60014446&tabIndex=1,P60014446,"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, AAAAAA",P,US,0,DEM,OPEN,WEYMOUTH,MA,2190,2016
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60016326&tabIndex=1,P60016326,"ABABIY, JON",P,US,0,PAF,OPEN,BLAINE,MN,55434,2016
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60005840&tabIndex=1,P60005840,"ABBOTT, GIFFORD WHEELER JR",P,US,0,IND,OPEN,YORK,PA,17402,2016
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60012838&tabIndex=1,P60012838,"ABDULHAMID, AMMAR",P,US,0,IND,OPEN,SILVER SPRING,MD,20901,2016
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60005741&tabIndex=1,P60005741,"ABERNATHY, CHRISTOPHER SCOTT",P,US,0,UNK,OPEN,GRANITE QUARRY,NC,28072,2016
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60014461&tabIndex=1,P60014461,"ABLEIDINGER, PHILL ALEXANDER",P,US,0,DEM,OPEN,PLYMOUTH,MN,55446,2016
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60020690&tabIndex=1,P60020690,"ABLO, ANDY",P,US,0,LIB,,DENVER,CO,80205,2016
