"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen"
"ADAMS, EDDIE JR","H","FL","11","REP","OPEN","2008","male","0","9.166666666666666","republican"
"ADAMS, JON","H","NM","3","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"ADLER, JOHN H","H","NJ","3","DEM","OPEN","2008","male","0","22.5","democrat"
"AFFELDT, ALLAN","H","AZ","1","DEM","OPEN","2008","male","0","15.0","democrat"
"ALEXANDER, LORI P","H","VA","11","DEM","OPEN","2008","female","1","10.0","democrat"
"AMAR, AMAR DEV","H","NJ","7","REP","OPEN","2008","male","0","10.0","republican"
"ARMSTRONG, WILLIAM L III","H","CO","6","REP","OPEN","2008","male","0","7.6923076923076925","republican"
"ATANASIO, PAUL M.","H","NY","13","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"AUSTRIA, STEVE C","H","OH","7","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"AYAD, BRAHIM","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"BALDERMANN, TIM","H","IL","11","REP","OPEN","2008","male","0","10.16949152542373","republican"
"BANKS, WILLIE JR","H","LA","4","DEM","OPEN","2008","male","0","9.523809523809524","democrat"
"BARROWS, ROBERT MILTON","H","CA","12","DEM","OPEN","2008","male","0","21.25","democrat"
"BARRY, GEORGE C","H","AL","5","REP","OPEN","2008","male","0","2.857142857142857","republican"
"BASWELL GUTHRIE, CHERYL ANN","H","AL","5","REP","OPEN","2008","female","1","2.857142857142857","republican"
"BELLAVIA, DAVID C","H","NY","26","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"BERGMAN, ALAN","H","FL","15","REP","OPEN","2008","male","0","9.166666666666666","republican"
"BISHIR, DAN","H","MO","9","REP","OPEN","2008","male","0","6.134969325153374","republican"
"BLACK, RICHARD H DICK","H","VA","1","REP","OPEN","2008","male","0","5.0","republican"
"BLYTHE, STEPHEN LEE","H","FL","15","DEM","OPEN","2008","male","0","13.333333333333334","democrat"
"BOCCIERI, JOHN A","H","OH","16","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"BODE, LYNDON","H","MO","9","DEM","OPEN","2008","male","0","14.11042944785276","democrat"
"BOSWELL, DAVID E","H","KY","2","DEM","OPEN","2008","male","0","10.0","democrat"
"BOTVIN, IVAN J","H","CO","6","DEM","OPEN","2008","male","0","32.30769230769231","democrat"
"BOWDEN, JAMES ATTICUS","H","VA","1","REP","OPEN","2008","male","0","5.0","republican"
"BOWDITCH, SHERWOOD HORNSBY","H","VA","1","REP","OPEN","2008","male","0","5.0","republican"
"BRENNAN, MICHAEL F","H","ME","1","DEM","OPEN","2008","male","0","23.178807947019866","democrat"
"BRIGHT, BOBBY NEAL MR. SR.","H","AL","2","DEM","OPEN","2008","male","0","10.476190476190476","democrat"
"BROADWATER, JAMES","H","MS","3","REP","OPEN","2008","male","0","3.278688524590164","republican"
"BROOKS, TRACEY","H","NY","21","DEM","OPEN","2008","female","1","22.666666666666664","democrat"
"BROWN, CHARLES","H","CA","4","DEM","OPEN","2008","male","0","21.25","democrat"
"BROWN, JEFFREY G","H","AZ","1","DEM","OPEN","2008","male","0","15.0","democrat"
"BUEHRER, STEVE","H","OH","5","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"BUHRMASTER, JAMES R","H","NY","21","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"BURNS, KEVIN","H","IL","14","REP","OPEN","2008","male","0","10.16949152542373","republican"
"BURNS, TIMOTHY G","H","LA","1","REP","OPEN","2008","male","0","3.8095238095238098","republican"
"BURRIDGE, CRAIG MICHAEL","H","NY","21","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"BUTCHER, VICKIE","H","CA","52","DEM","OPEN","2008","female","1","21.25","democrat"
"BYRNE, LESLIE L","H","VA","11","DEM","OPEN","2008","female","1","10.0","democrat"
"CAHIR, WILLIAM JOHN","H","PA","5","DEM","OPEN","2008","male","0","5.41871921182266","democrat"
"CALL, JASON","H","NM","1","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"CALLAHAN, COLLEEN","H","IL","18","DEM","OPEN","2008","female","1","19.491525423728813","democrat"
"CALONGNE, LAURINDA L","H","LA","6","REP","OPEN","2008","female","1","3.8095238095238098","republican"
"CAMPBELL, EARL","H","OH","5","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"CAPPUCCILLI, PETER JR","H","NY","25","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"CAPRARA, DAVID LOUIS","H","VA","1","REP","OPEN","2008","male","0","5.0","republican"
"CARMOUCHE, PAUL J. MR.","H","LA","4","DEM","OPEN","2008","male","0","9.523809523809524","democrat"
"CARRARO, JOSEPH J","H","NM","1","REP","OPEN","2008","male","0","17.142857142857142","republican"
"CASH, ARTIS","H","LA","4","DEM","OPEN","2008","male","0","9.523809523809524","democrat"
"CASTELLANES, PEPITO L","H","CO","6","REP","OPEN","2008","male","0","7.6923076923076925","republican"
"CERVANTES, JOSEPH","H","NM","2","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"CHILDERS, TRAVIS W.","H","MS","1","DEM","OPEN","2008","male","0","13.934426229508196","democrat"
"CING, DAVID MENDIOLA","H","MP","0","DEM","OPEN","2008","male","0"
"CIRELLI, MARY M.","H","OH","16","DEM","OPEN","2008","female","1","12.121212121212121","democrat"
"CLAI, RODOLFO P ''RUDY''","H","IL","14","REP","OPEN","2008","male","0","10.16949152542373","republican"
"CLOONAN, MICHAEL","H","LA","6","REP","OPEN","2008","male","0","3.8095238095238098","republican"
"COFFMAN, MIKE","H","CO","6","REP","OPEN","2008","male","0","7.6923076923076925","republican"
"COLEMAN, MARSHALL W","H","MS","1","DEM","OPEN","2008","male","0","13.934426229508196","democrat"
"COLLINS, MICHAEL DAVID","H","CO","6","DEM","OPEN","2008","male","0","32.30769230769231","democrat"
"CONLON, GREG","H","CA","12","REP","OPEN","2008","male","0","7.5","republican"
"CONNER, WILLIAM R.","H","OH","7","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"CONNOLLY, GERRY","H","VA","11","DEM","OPEN","2008","male","0","10.0","democrat"
"CORDERMAN, DAVID S","H","VA","1","REP","OPEN","2008","male","0","5.0","republican"
"COTE, ADAM ROLAND","H","ME","1","DEM","OPEN","2008","male","0","23.178807947019866","democrat"
"CRANK, JEFF","H","CO","5","REP","OPEN","2008","male","0","7.6923076923076925","republican"
"CRAWLEY, CENDIE","H","AL","2","DEM","OPEN","2008","female","1","10.476190476190476","democrat"
"DAVIS, CHARLES E II II","H","VA","1","REP","OPEN","2008","male","0","5.0","republican"
"DAVIS, JOHN R JR","H","NY","26","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"DECUIR, JASON MAURICE","H","LA","6","DEM","OPEN","2008","male","0","9.523809523809524","democrat"
"DELATTE, JOE","H","LA","6","DEM","OPEN","2008","male","0","9.523809523809524","democrat"
"DENNENY, DOUGLAS JAMES","H","VA","11","DEM","OPEN","2008","male","0","10.0","democrat"
"DERBY, JILL T","H","NV","2","DEM","OPEN","2008","female","1","23.809523809523807","democrat"
"DILGER, MICHAEL J.","H","IL","14","REP","OPEN","2008","male","0","10.16949152542373","republican"
"DONOGHUE, EILEEN","H","MA","5","DEM","OPEN","2008","female","1","21.25","democrat"
"DUNN, AUBREY","H","NM","2","REP","OPEN","2008","male","0","17.142857142857142","republican"
"EADS, RANDY","H","MS","3","DEM","OPEN","2008","male","0","13.934426229508196","democrat"
"EAST, DANIEL K","H","NM","3","REP","OPEN","2008","male","0","17.142857142857142","republican"
"EGLAND, ERIC IVER","H","CA","4","REP","OPEN","2008","male","0","7.5","republican"
"ELDRIDGE, JAMES BRADLEY","H","MA","5","DEM","OPEN","2008","male","0","21.25","democrat"
"ENG, HENRY H","H","CO","6","DEM","OPEN","2008","male","0","32.30769230769231","democrat"
"ERICKSON, MICHAEL","H","OR","5","REP","OPEN","2008","male","0","13.333333333333334","republican"
"EXARCHOS, CHRIS","H","PA","5","REP","OPEN","2008","male","0","7.8817733990147785","republican"
"FIMIAN, KEITH S","H","VA","11","REP","OPEN","2008","male","0","5.0","republican"
"FITZ-GERALD, JOAN","H","CO","2","DEM","OPEN","2008","female","1","32.30769230769231","democrat"
"FLEMING, JOHN CALVIN JR.","H","LA","4","REP","OPEN","2008","male","0","3.8095238095238098","republican"
"FORD, FELICIA","H","CA","37","DEM","OPEN","2008","female","1","21.25","democrat"
"FORGIT, PHILIP","H","VA","1","DEM","OPEN","2008","male","0","10.0","democrat"
"FOSTER, ANDREW","H","OR","5","DEM","OPEN","2008","male","0","18.333333333333332","democrat"
"FREEMAN, LESTER","H","NY","21","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"FUDGE, MARCIA L","H","OH","11","DEM","OPEN","2008","female","1","12.121212121212121","democrat"
"GARD, JOHN G","H","WI","8","REP","OPEN","2008","male","0","9.090909090909092","republican"
"GAW, ROBERT STEVEN","H","MO","9","DEM","OPEN","2008","male","0","14.11042944785276","democrat"
"GAY, DAVID ANDREW","H","NY","25","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"GILL, JOEL L","H","MS","3","DEM","OPEN","2008","male","0","13.934426229508196","democrat"
"GONZALES, MARCO","H","NM","3","REP","OPEN","2008","male","0","17.142857142857142","republican"
"GORDON, MARK","H","WY","0","REP","OPEN","2008","male","0","15.0","republican"
"GORMAN, CHRIS D","H","LA","4","REP","OPEN","2008","male","0","3.8095238095238098","republican"
"GRANT, LARRY L","H","ID","1","DEM","OPEN","2008","male","0","17.142857142857142","democrat"
"GREER, C EARL","H","NM","2","REP","OPEN","2008","male","0","17.142857142857142","republican"
"GRIFFITH, PARKER REP.","H","AL","5","REP","OPEN","2008","male","0","2.857142857142857","republican"
"GRIMES, DAVID G","H","AL","2","REP","OPEN","2008","male","0","2.857142857142857","republican"
"GRISHAM, MICHELLE LUJAN","H","NM","1","DEM","OPEN","2008","female","1","14.285714285714285","democrat"
"GRISOLIA, BILL","H","CA","37","DEM","OPEN","2008","male","0","21.25","democrat"
"GUILLORY, BISHOP LEROY JOSEPH L J","H","CA","37","REP","OPEN","2008","male","0","7.5","republican"
"GUTHRIE, STEVEN BRETT","H","KY","2","REP","OPEN","2008","male","0","3.0","republican"
"HAIRE, REID","H","KY","2","DEM","OPEN","2008","male","0","10.0","democrat"
"HALL, BARRY","H","AZ","1","REP","OPEN","2008","male","0","13.333333333333334","republican"
"HALVORSON, DEBORAH 'DEBBIE'","H","IL","11","DEM","OPEN","2008","female","1","19.491525423728813","democrat"
"HANSEN, THOMAS N","H","AZ","1","REP","OPEN","2008","male","0","13.333333333333334","republican"
"HARKINS, DANIEL C","H","OH","7","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"HARPER, GREGG","H","MS","3","REP","OPEN","2008","male","0","3.278688524590164","republican"
"HARRISON, STEPHEN A. MR.","H","NY","13","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"HARVEY, TED","H","CO","6","REP","OPEN","2008","male","0","7.6923076923076925","republican"
"HATCHER, GREGORY WILLIAM","H","MS","3","REP","OPEN","2008","male","0","3.278688524590164","republican"
"HATFIELD, P KELLY","H","NJ","7","REP","OPEN","2008","female","1","10.0","republican"
"HAY, SYDNEY","H","AZ","1","REP","OPEN","2008","female","1","13.333333333333334","republican"
"HEENAN, TERRY","H","IL","11","REP","OPEN","2008","male","0","10.16949152542373","republican"
"HEINRICH, MARTIN","H","NM","1","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"HENLEY, GERALD CARVER","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"HESTER, JIM","H","CA","52","DEM","OPEN","2008","male","0","21.25","democrat"
"HIGGS, NANCY NOEL","H","FL","15","DEM","OPEN","2008","female","1","13.333333333333334","democrat"
"HOLLAND, MICHAEL S.","H","WY","0","REP","OPEN","2008","male","0","15.0","republican"
"HOLLAND, STEVE","H","MS","1","DEM","OPEN","2008","male","0","13.934426229508196","democrat"
"HOLLENBAUGH, MARK","H","OH","5","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"HOLMES, JOHN MICHAEL","H","CA","4","REP","OPEN","2008","male","0","7.5","republican"
"HOLT, DELECIA ANN","H","CA","53","REP","OPEN","2008","female","1","7.5","republican"
"HONTZ, EDWARD B TED","H","VA","1","DEM","OPEN","2008","male","0","10.0","democrat"
"HOOD, RONALD EDWARD","H","OH","7","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"HUFF, MARK","H","AL","5","REP","OPEN","2008","male","0","2.857142857142857","republican"
"HUNT, STEPHEN MICHAEL","H","VA","11","REP","OPEN","2008","male","0","5.0","republican"
"HUNTER, DUNCAN D.","H","CA","52","REP","OPEN","2008","male","0","7.5","republican"
"HURT, JAMES K. (KEN)","H","MS","1","DEM","OPEN","2008","male","0","13.934426229508196","democrat"
"JACOB, KENNETH BENTLEY","H","MO","9","DEM","OPEN","2008","male","0","14.11042944785276","democrat"
"JENKINS, LOUIS (WOODY)","H","LA","6","REP","OPEN","2008","male","0","3.8095238095238098","republican"
"JENNINGS, CHRISTINE","H","FL","13","DEM","OPEN","2008","female","1","13.333333333333334","democrat"
"JOHNSON, CAROLYN R","H","OH","11","DEM","OPEN","2008","female","1","12.121212121212121","democrat"
"JOHNSON, JEFFREY","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"JOHNSON, LARRY E","H","CO","2","DEM","OPEN","2008","male","0","32.30769230769231","democrat"
"JONES, BRIAN W","H","CA","52","REP","OPEN","2008","male","0","7.5","republican"
"JONES, CATESBY BAYTOP","H","VA","1","REP","OPEN","2008","male","0","5.0","republican"
"JONES, JASON LEE","H","CA","12","DEM","OPEN","2008","male","0","21.25","democrat"
"JONES, SUZANNE VERONICA","H","CA","4","REP","OPEN","2008","female","1","7.5","republican"
"JOST, PAUL CHARLES","H","VA","1","REP","OPEN","2008","male","0","5.0","republican"
"JOYNER, JIM","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"KANALEY, JOHN M","H","CA","37","REP","OPEN","2008","male","0","7.5","republican"
"KELLY, JOHN","H","NJ","3","REP","OPEN","2008","male","0","10.0","republican"
"KILROY, MARY JO","H","OH","15","DEM","OPEN","2008","female","1","12.121212121212121","democrat"
"KING, KENNETH W JR","H","CA","52","REP","OPEN","2008","male","0","7.5","republican"
"KIRKPATRICK, ANN","H","AZ","1","DEM","OPEN","2008","female","1","15.0","democrat"
"KISSLING, ALBERT DONALD","H","NM","2","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"KONOPNICKI, BILL","H","AZ","1","REP","OPEN","2008","male","0","13.333333333333334","republican"
"KONST, KATHY","H","NY","26","DEM","OPEN","2008","female","1","22.666666666666664","democrat"
"KOPPLIN, ANDREW DAVID","H","LA","6","DEM","OPEN","2008","male","0","9.523809523809524","democrat"
"KORN, PRESTON","H","AZ","1","REP","OPEN","2008","male","0","13.333333333333334","republican"
"KRUPA, JOHN T.","H","PA","5","REP","OPEN","2008","male","0","7.8817733990147785","republican"
"KRYZAN, ALICE J","H","NY","26","DEM","OPEN","2008","female","1","22.666666666666664","democrat"
"LAESCH, JOHN","H","IL","14","DEM","OPEN","2008","male","0","19.491525423728813","democrat"
"LANCE, LEONARD","H","NJ","7","REP","OPEN","2008","male","0","10.0","republican"
"LANDRUM, DAVID","H","MS","3","REP","OPEN","2008","male","0","3.278688524590164","republican"
"LAUVER, NED W","H","OH","16","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"LAUZEN, CHRIS","H","IL","14","REP","OPEN","2008","male","0","10.16949152542373","republican"
"LAVIA, LINDA CHAPA","H","IL","14","DEM","OPEN","2008","female","1","19.491525423728813","democrat"
"LAWRENCE, MARK","H","ME","1","DEM","OPEN","2008","male","0","23.178807947019866","democrat"
"LEAVITT, JEFFREY (LINCOLN)","H","CA","37","REP","OPEN","2008","male","0","7.5","republican"
"LEE, CHRISTOPHER J.","H","NY","26","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"LEE, JIMMY D","H","IL","11","REP","OPEN","2008","male","0","10.16949152542373","republican"
"LEHOULLIER, KEVIN","H","FL","15","REP","OPEN","2008","male","0","9.166666666666666","republican"
"LIVINGSTONE, SANDRA B DR","H","AZ","1","REP","OPEN","2008","female","1","13.333333333333334","republican"
"LONDON, DANIEL ERIC","H","KY","2","REP","OPEN","2008","male","0","3.0","republican"
"LOVE, JAY K","H","AL","2","REP","OPEN","2008","male","0","2.857142857142857","republican"
"LUETKEMEYER, W. BLAINE","H","MO","9","REP","OPEN","2008","male","0","6.134969325153374","republican"
"LUJAN, BEN R","H","NM","3","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"LUMMIS, CYNTHIA M","H","WY","0","REP","OPEN","2008","female","1","15.0","republican"
"LUMPKIN, MICHAEL DAVID","H","CA","52","DEM","OPEN","2008","male","0","21.25","democrat"
"MAFFEI, DANIEL B MR.","H","NY","25","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"MAKER, DAVID JOEL","H","AL","5","DEM","OPEN","2008","male","0","10.476190476190476","democrat"
"MANCUSO, ANGELO DOC","H","AL","5","REP","OPEN","2008","male","0","2.857142857142857","republican"
"MANNIX, KEVIN LEESE","H","OR","5","REP","OPEN","2008","male","0","13.333333333333334","republican"
"MARCY, WILLIAM (BILL)","H","MS","3","REP","OPEN","2008","male","0","3.278688524590164","republican"
"MARKS, MARTIN L","H","NJ","7","REP","OPEN","2008","male","0","10.0","republican"
"MARKS, STEVE","H","OR","5","DEM","OPEN","2008","male","0","18.333333333333332","democrat"
"MARQUARDT, TERRY T","H","NM","2","REP","OPEN","2008","male","0","17.142857142857142","republican"
"MARTIN, JOHN","H","AL","2","REP","OPEN","2008","male","0","2.857142857142857","republican"
"MARTIN, NATHANIEL","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"MARTIN, RUDY","H","NM","3","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"MCCAMLEY, WILLIAM J","H","NM","2","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"MCCLINTOCK, THOMAS","H","CA","4","REP","OPEN","2008","male","0","7.5","republican"
"MCCONOUGHEY, JIM","H","IL","18","REP","OPEN","2008","male","0","10.16949152542373","republican"
"MCCRACKEN, MARK B","H","PA","5","DEM","OPEN","2008","male","0","5.41871921182266","democrat"
"MCCULLOUGH, GLENN L JR","H","MS","1","REP","OPEN","2008","male","0","3.278688524590164","republican"
"MCDONALD, VALERIE J","H","CA","37","DEM","OPEN","2008","female","1","21.25","democrat"
"MCKEE, RAY","H","AL","5","REP","OPEN","2008","male","0","2.857142857142857","republican"
"MCKINNON, FRANK","H","NM","2","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"MCMAHON, MICHAEL E. MR.","H","NY","13","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"MCMICKLE, MARVIN","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"MCMURRY, MICHELLE TAYLOR","H","CA","12","DEM","OPEN","2008","female","1","21.25","democrat"
"MEISTER, STEPHEN JOSEPH MD","H","ME","1","DEM","OPEN","2008","male","0","23.178807947019866","democrat"
"MENDOZA, M.V.","H","LA","1","DEM","OPEN","2008","male","0","9.523809523809524","democrat"
"MICELI, JAMES R","H","MA","5","DEM","OPEN","2008","male","0","21.25","democrat"
"MILKOVICH, JOHN CHARLES","H","LA","4","DEM","OPEN","2008","male","0","9.523809523809524","democrat"
"MILLER, MATT","H","OH","16","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"MITCHEL, JOHN R","H","OH","7","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"MITCHELL, WILLIAM D","H","FL","9","DEM","OPEN","2008","male","0","13.333333333333334","democrat"
"MITTLEMAN, GARY","H","NY","21","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"MOLONEY, MICHAEL J.","H","CA","12","REP","OPEN","2008","male","0","7.5","republican"
"MONTOYA, HARRY B","H","NM","3","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
