Candidate,House/Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check Column,PartyVar
"ABARR, JOHN ALLEN",H,MT,0,DEM,OPEN,2012,male,0,19,democrat,1
"ABRAHAMS, KEVAN",H,NY,4,DEM,OPEN,2014,male,0,20,democrat,1
"ADAM, LEROY",H,FL,17,DEM,OPEN,2010,male,0,12.5,democrat,1
"ADAMS, DANIELLE",H,NC,6,DEM,OPEN,2014,female,1,12.5,democrat,1
"ADAMS, JOHN",H,AR,2,DEM,OPEN,2010,male,0,16,democrat,1
"ADAMS, JON",H,NM,3,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"ADAMS, SUSAN L",H,CA,2,DEM,OPEN,2012,female,1,20,democrat,1
"ADKINS, WILLIAM R. BILL",H,KY,4,DEM,OPEN,2012,male,0,11,democrat,1
"ADLER, AMBER LASHELLE",H,NY,11,DEM,OPEN,2016,female,1,24.66666667,democrat,1
"ADLER, DANIEL H",H,CA,36,DEM,OPEN,2012,male,0,20,democrat,1
"ADLER, JOHN H",H,NJ,3,DEM,OPEN,2008,male,0,22.5,democrat,1
"AFFELDT, ALLAN",H,AZ,1,DEM,OPEN,2008,male,0,15,democrat,1
"AGUILAR, PETE",H,CA,31,DEM,OPEN,2014,male,0,16.25,democrat,1
"AHMED, SABA",H,OR,1,DEM,OPEN,2012,female,1,20,democrat,1
"AKHLAGHI, BANAFSHEH",H,CA,2,DEM,OPEN,2012,female,1,20,democrat,1
"ALBERT-KAIGLER, LULA",H,AL,1,DEM,OPEN,2014,female,1,8.571428571,democrat,1
"ALEXANDER, LORI P",H,VA,11,DEM,OPEN,2008,female,1,10,democrat,1
"ALONSO, FRANCISCO",H,CA,32,DEM,OPEN,2010,male,0,20,democrat,1
"ALVARADO, MARIA LUISA",H,TX,35,DEM,OPEN,2012,female,1,8.666666667,democrat,1
"ANDERSON, DAVID M",H,MD,8,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"ANDERSON, IKAIKA",H,HI,1,DEM,OPEN,2014,female,1,25.49019608,democrat,1
"ANDERSON, QUENTIN ANTHONY",H,LA,6,DEM,OPEN,2014,male,0,8.571428571,democrat,1
"ANNUNZIO, FRANK",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"APPEL, STACI",H,IA,3,DEM,OPEN,2014,female,1,19,democrat,1
"ARKOOSH, VALERIE ANN",H,PA,13,DEM,OPEN,2014,female,1,7.881773399,democrat,1
"ARROJO, JOSE ROLANNDO",H,FL,25,DEM,OPEN,2010,male,0,12.5,democrat,1
"AVAKIAN, BRAD",H,OR,1,DEM,OPEN,2012,male,0,20,democrat,1
"AYAD, BRAHIM",H,OH,11,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"BACA, JOE",H,CA,31,DEM,OPEN,2014,male,0,16.25,democrat,1
"BANKS, WILLIE JR",H,LA,4,DEM,OPEN,2008,male,0,9.523809524,democrat,1
"BARBER, RONALD",H,AZ,2,DEM,OPEN,2012,male,0,11.66666667,democrat,1
"BARFIELD, JONATHAN JR",H,NC,7,DEM,OPEN,2014,male,0,12.5,democrat,1
"BARNEY, SEAN",H,DE,0,DEM,OPEN,2016,male,0,17.07317073,democrat,1
"BARRAGAN, NANETTE",H,CA,44,DEM,OPEN,2016,female,1,13.75,democrat,1
"BARROWS, ROBERT MILTON",H,CA,12,DEM,OPEN,2008,male,0,21.25,democrat,1
"BARRY , HENRY CLAY",H,TN,6,DEM,OPEN,2010,male,0,12.12121212,democrat,1
"BARVE, KUMAR",H,MD,8,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"BASS, KAREN",H,CA,33,DEM,OPEN,2010,female,1,20,democrat,1
"BASTIEN, MARLEINE M",H,FL,17,DEM,OPEN,2010,female,1,12.5,democrat,1
"BATTLE, GEORGE EDWARD III",H,NC,12,DEM,OPEN,2014,male,0,12.5,democrat,1
"BAY, GEORGE S",H,NV,2,DEM,OPEN,2012,male,0,26.19047619,democrat,1
"BEALE, ANTHONY A",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"BELGARD, AIMEE",H,NJ,3,DEM,OPEN,2014,female,1,20,democrat,1
"BELTRAN, ESTAKIO",H,WA,4,DEM,OPEN,2014,male,0,21.42857143,democrat,1
"BERNIER, NICHOLAS DENNIS",H,MA,4,DEM,OPEN,2012,male,0,20,democrat,1
"BERRY, BRIAN",H,WA,1,DEM,OPEN,2012,male,0,19.3877551,democrat,1
"BEYER, DONALD STERNOFF JR",H,VA,8,DEM,OPEN,2014,male,0,12,democrat,1
"BLYTH, JOHN",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"BLYTHE, STEPHEN LEE",H,FL,15,DEM,OPEN,2008,male,0,13.33333333,democrat,1
"BOCCIERI, JOHN A",H,OH,16,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"BODE, LYNDON",H,MO,9,DEM,OPEN,2008,male,0,14.11042945,democrat,1
"BOLGER, RICHARD OWEN",H,VA,10,DEM,OPEN,2014,male,0,12,democrat,1
"BOLING, DAVID ALAN",H,AR,2,DEM,OPEN,2010,male,0,16,democrat,1
"BOLLING, DAN",H,MD,8,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"BOLLING, DANIEL WADE",H,IN,6,DEM,OPEN,2012,male,0,11,democrat,1
"BOND, MICHAEL",H,IL,10,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"BOOKOUT, BRADLEY T",H,IN,6,DEM,OPEN,2012,male,0,11,democrat,1
"BORDERS, JASON D",H,FL,9,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"BOSWELL, DAVID E",H,KY,2,DEM,OPEN,2008,male,0,10,democrat,1
"BOTHWELL, CECIL",H,NC,11,DEM,OPEN,2012,male,0,19.16666667,democrat,1
"BOTVIN, IVAN J",H,CO,6,DEM,OPEN,2008,male,0,32.30769231,democrat,1
"BOWEN, DEBRA",H,CA,36,DEM,OPEN,2012,female,1,20,democrat,1
"BOYLE, BRENDAN F",H,PA,13,DEM,OPEN,2014,male,0,7.881773399,democrat,1
"BRANDMAN, JORDAN",H,CA,46,DEM,OPEN,2016,male,0,13.75,democrat,1
"BRANDON, MARCUS",H,NC,12,DEM,OPEN,2014,male,0,12.5,democrat,1
"BRENNAN, MICHAEL F",H,ME,1,DEM,OPEN,2008,male,0,23.17880795,democrat,1
"BRIGHT, BOBBY NEAL MR. SR.",H,AL,2,DEM,OPEN,2008,male,0,10.47619048,democrat,1
"BROOKS, JOHN L II",H,CA,51,DEM,OPEN,2012,male,0,20,democrat,1
"BROOKS, TRACEY",H,NY,21,DEM,OPEN,2008,female,1,22.66666667,democrat,1
"BROOMELL, FRANK CRAIG JR",H,NJ,1,DEM,OPEN,2014,male,0,20,democrat,1
"BROWN, ANTHONY GREGORY",H,MD,4,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"BROWN, CHARLES",H,CA,4,DEM,OPEN,2008,male,0,21.25,democrat,1
"BROWN, JEFFREY G",H,AZ,1,DEM,OPEN,2008,male,0,15,democrat,1
"BROWN, RACHEL",H,MA,4,DEM,OPEN,2012,female,1,20,democrat,1
"BROWNE, VINNY",H,HI,1,DEM,OPEN,2010,male,0,25.49019608,democrat,1
"BRUTUS, OTTO PATRICK",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"BRUTUS, PHILLIP J",H,FL,17,DEM,OPEN,2010,male,0,12.5,democrat,1
"BRYLES, STEVE MARK",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1
"BULLWINKEL, DEBORAH M",H,IL,8,DEM,OPEN,2016,female,1,27.11864407,democrat,1
"BURNER, DARCY",H,WA,1,DEM,OPEN,2012,female,1,19.3877551,democrat,1
"BURRIDGE, CRAIG MICHAEL",H,NY,21,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"BURTON, ROBERT",H,SC,1,DEM,OPEN,2010,male,0,6.451612903,democrat,1
"BUSH, JAMES III",H,FL,17,DEM,OPEN,2010,male,0,12.5,democrat,1
"BUTCHER, VICKIE",H,CA,52,DEM,OPEN,2008,female,1,21.25,democrat,1
"BUTLER , DEVORE E.",H,TN,6,DEM,OPEN,2010,male,0,12.12121212,democrat,1
