"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen","Check Column","PartyVar","_regNewEngland","_regMidAtlantic","_regENCentral","_regWNCentral","_regSouthAtlantic","_regESCentral","_regWSCentral","_regMountainWest","_regPacific","urb_district_id","urbanPercent"
"ABARR, JOHN ALLEN","H","MT","0","DEM","OPEN","2012","male","0","19","democrat","1","0","0","0","0","0","0","0","1","0","MT02012","55.9"
"ABRAHAMS, KEVAN","H","NY","4","DEM","OPEN","2014","male","0","20","democrat","1","0","1","0","0","0","0","0","0","0","NY42014","99.97"
"ADAM, LEROY","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","FL172010","100.00"
"ADAMS, DANIELLE","H","NC","6","DEM","OPEN","2014","female","1","12.5","democrat","1","0","0","0","0","1","0","0","0","0","NC62014","56.28"
"ADAMS, JOHN","H","AR","2","DEM","OPEN","2010","male","0","16","democrat","1","0","0","0","0","0","0","1","0","0","AR22010","66.20"
"ADAMS, JON","H","NM","3","DEM","OPEN","2008","male","0","14.28571429","democrat","1","0","0","0","0","0","0","0","1","0","NM32008","62.70"
"ADAMS, SUSAN L","H","CA","2","DEM","OPEN","2012","female","1","20","democrat","1","0","0","0","0","0","0","0","0","1","CA22012","67.63"
"ADKINS, WILLIAM R. BILL","H","KY","4","DEM","OPEN","2012","male","0","11","democrat","1","0","0","0","0","0","1","0","0","0","KY42012","59.79"
"ADLER, AMBER LASHELLE","H","NY","11","DEM","OPEN","2016","female","1","24.66666667","democrat","1","0","1","0","0","0","0","0","0","0","NY112016","100.00"
"ADLER, DANIEL H","H","CA","36","DEM","OPEN","2012","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","CA362012","100.00"
"ADLER, JOHN H","H","NJ","3","DEM","OPEN","2008","male","0","22.5","democrat","1","0","1","0","0","0","0","0","0","0","NJ32008","96.17"
"AFFELDT, ALLAN","H","AZ","1","DEM","OPEN","2008","male","0","15","democrat","1","0","0","0","0","0","0","0","1","0","AZ12008","55.40"
"AGUILAR, PETE","H","CA","31","DEM","OPEN","2014","male","0","16.25","democrat","1","0","0","0","0","0","0","0","0","1","CA312014","99.44"
"AHMED, SABA","H","OR","1","DEM","OPEN","2012","female","1","20","democrat","1","0","0","0","0","0","0","0","0","1","OR12012","86.65"
"AKHLAGHI, BANAFSHEH","H","CA","2","DEM","OPEN","2012","female","1","20","democrat","1","0","0","0","0","0","0","0","0","1","CA22012","67.63"
"ALBERT-KAIGLER, LULA","H","AL","1","DEM","OPEN","2014","female","1","8.571428571","democrat","1","0","0","0","0","0","1","0","0","0","AL12014","66.82"
"ALEXANDER, LORI P","H","VA","11","DEM","OPEN","2008","female","1","10","democrat","1","0","0","0","0","1","0","0","0","0","VA112008","95.97"
"ALONSO, FRANCISCO","H","CA","32","DEM","OPEN","2010","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","CA322010","99.97"
"ALVARADO, MARIA LUISA","H","TX","35","DEM","OPEN","2012","female","1","8.666666667","democrat","1","0","0","0","0","0","0","1","0","0","TX352012","95.99"
"ANDERSON, DAVID M","H","MD","8","DEM","OPEN","2016","male","0","25.53191489","democrat","1","0","0","0","0","1","0","0","0","0","MD82016","88.08"
"ANDERSON, IKAIKA","H","HI","1","DEM","OPEN","2014","female","1","25.49019608","democrat","1","0","0","0","0","0","0","0","0","1","HI12014","99.73"
"ANDERSON, QUENTIN ANTHONY","H","LA","6","DEM","OPEN","2014","male","0","8.571428571","democrat","1","0","0","0","0","0","0","1","0","0","LA62014","78.12"
"ANNUNZIO, FRANK","H","IL","5","DEM","OPEN","2010","male","0","21.18644068","democrat","1","0","0","1","0","0","0","0","0","0","IL52010","100.00"
"APPEL, STACI","H","IA","3","DEM","OPEN","2014","female","1","19","democrat","1","0","0","0","1","0","0","0","0","0","IA32014","77.76"
"ARKOOSH, VALERIE ANN","H","PA","13","DEM","OPEN","2014","female","1","7.881773399","democrat","1","0","1","0","0","0","0","0","0","0","PA132014","100.00"
"ARROJO, JOSE ROLANNDO","H","FL","25","DEM","OPEN","2010","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","FL252010","94.54"
"AVAKIAN, BRAD","H","OR","1","DEM","OPEN","2012","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","OR12012","86.65"
"AYAD, BRAHIM","H","OH","11","DEM","OPEN","2008","male","0","12.12121212","democrat","1","0","0","1","0","0","0","0","0","0","OH112008","100.00"
"BACA, JOE","H","CA","31","DEM","OPEN","2014","male","0","16.25","democrat","1","0","0","0","0","0","0","0","0","1","CA312014","99.44"
"BANKS, WILLIE JR","H","LA","4","DEM","OPEN","2008","male","0","9.523809524","democrat","1","0","0","0","0","0","0","1","0","0","LA42008","59.24"
"BARBER, RONALD","H","AZ","2","DEM","OPEN","2012","male","0","11.66666667","democrat","1","0","0","0","0","0","0","0","1","0","AZ22012","88.97"
"BARFIELD, JONATHAN JR","H","NC","7","DEM","OPEN","2014","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","NC72014","48.02"
"BARNEY, SEAN","H","DE","0","DEM","OPEN","2016","male","0","17.07317073","democrat","1","0","0","0","0","1","0","0","0","0","DE02016","83.3"
"BARRAGAN, NANETTE","H","CA","44","DEM","OPEN","2016","female","1","13.75","democrat","1","0","0","0","0","0","0","0","0","1","CA442016","100.00"
"BARROWS, ROBERT MILTON","H","CA","12","DEM","OPEN","2008","male","0","21.25","democrat","1","0","0","0","0","0","0","0","0","1","CA122008","99.92"
"BARRY , HENRY CLAY","H","TN","6","DEM","OPEN","2010","male","0","12.12121212","democrat","1","0","0","0","0","0","1","0","0","0","TN62010","52.89"
"BARVE, KUMAR","H","MD","8","DEM","OPEN","2016","male","0","25.53191489","democrat","1","0","0","0","0","1","0","0","0","0","MD82016","88.08"
"BASS, KAREN","H","CA","33","DEM","OPEN","2010","female","1","20","democrat","1","0","0","0","0","0","0","0","0","1","CA332010","100.00"
"BASTIEN, MARLEINE M","H","FL","17","DEM","OPEN","2010","female","1","12.5","democrat","1","0","0","0","0","1","0","0","0","0","FL172010","100.00"
"BATTLE, GEORGE EDWARD III","H","NC","12","DEM","OPEN","2014","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","NC122014","96.03"
"BAY, GEORGE S","H","NV","2","DEM","OPEN","2012","male","0","26.19047619","democrat","1","0","0","0","0","0","0","0","1","0","NV22012","78.45"
"BEALE, ANTHONY A","H","IL","2","DEM","OPEN","2014","male","0","25.42372881","democrat","1","0","0","1","0","0","0","0","0","0","IL22014","94.72"
"BELGARD, AIMEE","H","NJ","3","DEM","OPEN","2014","female","1","20","democrat","1","0","1","0","0","0","0","0","0","0","NJ32014","95.73"
