Candidate,House/Senate,State,District,Party,Status,Election Year,Gender,Gender Var
"WALTERS, EDDISON T",H,AL,7,DEM,OPEN,2010,male,0
"SMITH, HARRI ANNE",H,AL,2,REP,OPEN,2008,female,1
"DYAS, J. DANIEL, SR.",H,AL,1,REP,OPEN,2014,male,0
"CRAWLEY, CENDIE",H,AL,2,DEM,OPEN,2008,female,1
"WOOLRIDGE, TYMOTHE (TIM) LYNN",H,AR,1,DEM,OPEN,2010,male,0
"SMITH, PRINCELLA D",H,AR,1,REP,OPEN,2010,female,1
"HURST, Q. BYRUM JR",H,AR,4,DEM,OPEN,2012,male,0
"KONST, NOMIKI",H,AZ,2,DEM,OPEN,2012,female,1
"HACK, HELMUTH",H,AZ,8,REP,OPEN,2012,male,0
"BEGAY, CARLYLE WILMER",H,AZ,1,REP,OPEN,2016,male,0
"SINGH, NAVRAJ",H,CA,25,REP,OPEN,2014,male,0
"SANCHEZ, HEBERTO M",H,CA,46,DEM,OPEN,2016,male,0
"QUANG, TUE PHAN",H,CA,11,REP,OPEN,2014,male,0
"PATTERSON, NORWOOD JAMES JR",H,CA,19,REP,OPEN,2010,male,0
"OBAGI, ZEIN ELABDINE JR",H,CA,33,DEM,OPEN,2014,male,0
"INGERSOL, KI",H,CA,11,DEM,OPEN,2014,male,0
"HOLT, DELECIA ANN",H,CA,53,REP,OPEN,2008,female,1
"HALL, ISADORE III",H,CA,44,DEM,OPEN,2016,male,0
"GUILLORY, BISHOP LEROY JOSEPH L J",H,CA,37,REP,OPEN,2008,male,0
"GIONIS, XANTHI",H,CA,51,REP,OPEN,2012,female,1
"COUNCIL, TEMPERANCE A LANCE",H,CA,25,DEM,OPEN,2014,female,1
"CARR, ELAN S.",H,CA,33,REP,OPEN,2014,male,0
"CARBAJAL, SALUD",H,CA,24,DEM,OPEN,2016,male,0
"BLAKE, M. WAYNE",H,CA,32,REP,OPEN,2010,male,0
"AKHLAGHI, BANAFSHEH",H,CA,2,DEM,OPEN,2012,female,1
"ACHADJIAN, KHATCHIK",H,CA,24,REP,OPEN,2016,female,1
"CASTELLANES, PEPITO L",H,CO,6,REP,OPEN,2008,male,0
"SINK, ALEX",H,FL,13,DEM,OPEN,2014,female,1
"ROBERSON, YOLLY",H,FL,17,DEM,OPEN,2010,female,1
"GALLOWAY, G.G.",H,FL,6,REP,OPEN,2016,male,0
"CRABTREE, VALLERI",H,FL,9,DEM,OPEN,2016,female,1
"BENTON, C DAN",H,FL,14,REP,OPEN,2012,male,0
"BASTIEN, MARLEINE M",H,FL,17,DEM,OPEN,2010,female,1
"SWAN, S MITCHELL",H,GA,10,REP,OPEN,2014,male,0
"JARVIS, B STEFAN",H,GA,,REP,OPEN,2014,male,0
"COOK, TAMARKUS",H,GA,3,DEM,OPEN,2016,male,0
"LEE, PHILMUND (PHIL)",H,HI,1,DEM,OPEN,2010,male,0
"HANNEMANN, MULIUFI F 'MUFI'",H,HI,2,DEM,OPEN,2012,male,0
"GABBARD, TULSI",H,HI,2,DEM,OPEN,2012,female,1
