Candidate,House/Senate,State,District,Party,Status,Election Year,Gender,Gender Var
"YOUNG, R MICHAEL",H,IN,4,REP,OPEN,2010,,
"WYNE, JAMSHAD",H,NY,13,REP,OPEN,2008,,
"WOOLRIDGE, TYMOTHE (TIM) LYNN",H,AR,1,DEM,OPEN,2010,,
"WOOLEVER, F DAVID",H,OH,7,DEM,OPEN,2008,,
"WITTE, W STOVALL JR",H,SC,1,REP,OPEN,2010,,
"WINNEY, J WILLIAM JR",H,WY,0,REP,OPEN,2008,,
"WILMER, FRANKE",H,MT,0,DEM,OPEN,2012,,
"WHITNEY, LENAR",H,LA,6,REP,OPEN,2014,,
"WARREN, DERENDA",H,TX,19,REP,OPEN,2016,,
"WALTERS, EDDISON T",H,AL,7,DEM,OPEN,2010,,
"WAGA, THEADORE III",H,PA,4,REP,OPEN,2012,,
"VOIGTS, BUSCH, JR",H,NV,2,REP,OPEN,2012,,
"TROTTER, DONNE E",H,IL,2,DEM,OPEN,2014,,
"TRIVEDI, MANAN",H,PA,6,DEM,OPEN,2014,,
"TEACHOUT, ZEPHYR",H,NY,19,DEM,OPEN,2016,,
"TATUM, KYEV P., SR.",H,TX,33,DEM,OPEN,2012,,
"TAJ, SYED DR",H,MI,11,DEM,OPEN,2012,,
"SWEETEN, RANCE G RANDY",H,TX,15,DEM,OPEN,2016,,
"SWAN, S MITCHELL",H,GA,10,REP,OPEN,2014,,
"STROEBEL, S DUANE JR",H,WI,6,REP,OPEN,2014,,
"STEIN, JOTHAM SHEPARD",H,IL,14,DEM,OPEN,2008,,
"SMITH, PRINCELLA D",H,AR,1,REP,OPEN,2010,,
"SMITH, HARRI ANNE",H,AL,2,REP,OPEN,2008,,
"SINK, ALEX",H,FL,13,DEM,OPEN,2014,,
"SINGH, NAVRAJ",H,CA,25,REP,OPEN,2014,,
"SINGER, ALEX CHANNING",H,NV,3,DEM,OPEN,2016,,
"SHUDOFSKY, ARYEH",H,MD,8,REP,OPEN,2016,,
"SANGISETTY, RAVI",H,LA,3,DEM,OPEN,2010,,
"SANCHEZ, HEBERTO M",H,CA,46,DEM,OPEN,2016,,
"RUTSCHMAN, PAIJ BORING",H,KS,4,REP,OPEN,2010,,
"ROYS, KELDA HELEN",H,WI,2,DEM,OPEN,2012,,
"ROSEN, JACKY",H,NV,3,DEM,OPEN,2016,,
"ROGERS, WALT",H,IA,1,REP,OPEN,2014,,
"ROBERSON, YOLLY",H,FL,17,DEM,OPEN,2010,,
"RISER, HARTWELL NEIL JR",H,LA,5,REP,OPEN,2014,,
"RAUNIYAR, DARSHAN",H,WA,1,DEM,OPEN,2012,,
"QUANG, TUE PHAN",H,CA,11,REP,OPEN,2014,,
"PRENTISS, C.J.",H,OH,11,DEM,OPEN,2008,,
"POORE, MESHEA",H,WV,2,DEM,OPEN,2014,,
"PINGREE, CHELLIE M",H,ME,1,DEM,OPEN,2008,,
"PENA-MELNYK, JOSELINE A.",H,MD,4,DEM,OPEN,2016,,
"PATTERSON, NORWOOD JAMES JR",H,CA,19,REP,OPEN,2010,,
