Alabama 1,Bradley Byrne,Republican,2013,1955,58,Male
Alabama 2,Martha Roby,Republican,2011,1976,35,Female
Alabama 3,Mike Rogers,Republican,2003,1958,45,Male
Alabama 4,Robert Aderholt,Republican,1997,1965,32,Male
Alabama 5,Mo Brooks,Republican,2011,1954,57,Male
Alabama 6,Gary Palmer,Republican,2015,1954,61,Male
Alabama 7,Terri Sewell,Democratic,2011,1965,46,Female
Alaska At Large,Don Young,Republican,1973,1933,40,Male
Arizona 1,Ann Kirkpatrick,Democratic,2013,1950,63,Female
Arizona 2,Martha McSally,Republican,2015,1966,49,Female
Arizona 3,RaÃºl Grijalva,Democratic,2003,1948,55,Male
Arizona 4,Paul Gosar,Republican,2011,1958,53,Male
Arizona 5,Matt Salmon,Republican,2013,1958,55,Male
Arizona 6,David Schweikert,Republican,2011,1962,49,Male
Arizona 7,Ruben Gallego,Democratic,2015,1979,36,Male
Arizona 8,Trent Franks,Republican,2003,1957,46,Male
Arizona 9,Kyrsten Sinema,Democratic,2013,1976,37,Female
Arkansas 1,Rick Crawford,Republican,2011,1966,45,Male
Arkansas 2,French Hill,Republican,2015,1956,59,Male
Arkansas 3,Steve Womack,Republican,2011,1957,54,Male
Arkansas 4,Bruce Westerman,Republican,2015,1956,59,Male
California 1,Doug LaMalfa,Republican,2013,1960,53,Male
California 2,Jared Huffman,Democratic,2013,1964,49,Male
California 3,John Garamendi,Democratic,2009,1945,64,Male
California 4,Tom McClintock,Republican,2009,1956,53,Male
California 5,Mike Thompson,Democratic,1999,1951,48,Male
California 6,Doris Matsui,Democratic,2005,1944,61,Female
California 7,Ami Bera,Democratic,2013,1965,48,Male
California 8,Paul Cook,Republican,2013,1943,70,Male
California 9,Jerry McNerney,Democratic,2007,1951,56,Male
California 10,Jeff Denham,Republican,2011,1967,44,Male
California 11,Mark DeSaulnier,Democratic,2015,1952,63,Male
California 12,Nancy Pelosi,Democratic,1987,1940,47,Female
California 13,Barbara Lee,Democratic,1998,1946,52,Female
California 14,Jackie Speier,Democratic,2008,1950,58,Female
California 15,Eric Swalwell,Democratic,2013,1980,33,Male
California 16,Jim Costa,Democratic,2005,1952,53,Male
California 17,Mike Honda,Democratic,2001,1941,60,Male
California 18,Anna Eshoo,Democratic,1993,1942,51,Female
California 19,Zoe Lofgren,Democratic,1995,1947,48,Female
California 20,Sam Farr,Democratic,1993,1941,52,Male
California 21,David Valadao,Republican,2013,1977,36,Male
California 22,Devin Nunes,Republican,2003,1973,30,Male
California 23,Kevin McCarthy,Republican,2007,1965,42,Male
California 24,Lois Capps,Democratic,1998,1938,60,Female
California 25,Steve Knight,Republican,2015,1966,49,Male
California 26,Julia Brownley,Democratic,2013,1952,61,Female
California 27,Judy Chu,Democratic,2009,1953,56,Female
California 28,Adam Schiff,Democratic,2001,1960,41,Male
California 29,Tony CÃ¡rdenas,Democratic,2013,1963,50,Male
California 30,Brad Sherman,Democratic,1997,1954,43,Male
California 31,Pete Aguilar,Democratic,2015,1979,36,Male
California 32,Grace Napolitano,Democratic,1999,1936,63,Female
California 33,Ted Lieu,Democratic,2015,1969,46,Male
California 34,Xavier Becerra,Democratic,1993,1958,35,Male
California 35,Norma Torres,Democratic,2015,1965,50,Female
California 36,Raul Ruiz,Democratic,2013,1972,41,Male
California 37,Karen Bass,Democratic,2011,1953,58,Female
