"Jeannette Rankin","Republican","Montana At-large","March 4, 1917-March 3, 1919"
"Jeannette Rankin","Republican","Montana's 1st","January 3, 1941-January 3, 1943"
"Alice Mary Robertson","Republican","Oklahoma's 2nd","March 4, 1921-March 3, 1923"
"Winnifred Sprague Mason Huck","Republican","Illinois At-large","November 7, 1922-March 3, 1923"
"Mae Nolan","Republican","California's 5th","January 23, 1923-March 3, 1925"
"Florence Prag Kahn","Republican","California's 4th","March 4, 1925-January 3, 1937"
"Mary Teresa Norton","Democratic","New Jersey's 12th","March 4, 1925-March 3, 1933"
"Mary Teresa Norton","Democratic","New Jersey's 13th","March 4, 1933-January 3, 1951"
"Edith Nourse Rogers","Republican","Massachusetts's 5th","June 30, 1925-September 10, 1960"
"Katherine G. Langley","Republican","Kentucky's 7th","March 4, 1927-March 3, 1931"
"Pearl Peden Oldfield","Democratic","Arkansas's 2nd","January 9, 1929-March 3, 1931"
"Ruth Hanna McCormick","Republican","Illinois At-large","March 4, 1929-March 3, 1931"
"Ruth Bryan Owen","Democratic","Florida's 4th","March 4, 1929-March 3, 1933"
"Ruth Baker Pratt","Republican","New York's 17th","March 4, 1929-March 3, 1933"
"Effiegene Locke Wingo","Democratic","Arkansas's 4th","November 4, 1930-March 3, 1933"
"Willa McCord Blake Eslick","Democratic","Tennessee's 7th","August 14, 1932-March 3, 1933"
"Kathryn O'Loughlin McCarthy","Democratic","Kansas's 6th","March 4, 1933-January 3, 1935"
"Virginia E. Jenckes","Democratic","Indiana's 6th","March 4, 1933-January 3, 1939"
"Isabella Greenway","Democratic","Arizona At-large","October 3, 1933-January 3, 1937"
"Marian W. Clarke","Republican","New York's 34th","December 28, 1933-January 3, 1935"
"Caroline Love Goodwin O'Day","Democratic","New York At-large","January 3, 1935-January 3, 1943"
"Nan Wood Honeyman","Democratic","Oregon's 3rd","January 3, 1937-January 3, 1939"
"Elizabeth Hawley Gasque","Democratic","South Carolina's 6th","September 13, 1938-January 3, 1939"
"Jessie Sumner","Republican","Illinois's 18th","January 3, 1939-January 3, 1947"
"Clara G. McMillan","Democratic","South Carolina's 1st","November 7, 1939-January 3, 1941"
"Frances P. Bolton","Republican","Ohio's 22nd","February 27, 1940-January 3, 1969"
"Margaret Chase Smith","Republican","Maine's 2nd","June 3, 1940-January 3, 1949"
"Florence Reville Gibbs","Democratic","Georgia's 8th","October 1, 1940-January 3, 1941"
"Katharine Byron","Democratic","Maryland's 6th","May 27, 1941-January 3, 1943"
"Veronica Grace Boland","Democratic","Pennsylvania's 11th","November 3, 1942-January 3, 1943"
"Clare Boothe Luce","Republican","Connecticut's 4th","January 3, 1943-January 3, 1947"
"Winifred C. Stanley","Republican","New York At-large","January 3, 1943-January 3, 1945"
"Willa L. Fulmer","Democratic","South Carolina's 2nd","November 7, 1944-January 3, 1945"
"Emily Taft Douglas","Democratic","Illinois At-large","January 3, 1945-January 3, 1947"
"Helen Gahagan Douglas","Democratic","California's 14th","January 3, 1945-January 3, 1951"
"Chase G. Woodhouse","Democratic","Connecticut's 2nd","January 3, 1945-January 3, 1947"
"Helen Douglas Mankin","Democratic","Georgia's 5th","February 12, 1946-January 3, 1947"
"Eliza Jane Pratt","Democratic","North Carolina's 8th","May 25, 1946-January 3, 1947"
"Georgia Lee Lusk","Democratic","New Mexico At-large","January 3, 1947-January 3, 1949"
"Katharine St. George","Republican","New York's 29th","January 3, 1947-January 3, 1953"
"Katharine St. George","Republican","New York's 28th","January 3, 1953-January 3, 1963"
"Katharine St. George","Republican","New York's 27th","January 3, 1963-January 3, 1965"
"Reva Beck Bosone","Democratic","Utah's 2nd","January 3, 1949-January 3, 1953"
"Cecil M. Harden","Republican","Indiana's 6th","January 3, 1949-January 3, 1959"
"Edna F. Kelly","Democratic","New York's 10th","November 8, 1949-January 3, 1963"
"Edna F. Kelly","Democratic","New York's 12th","January 3, 1963-January 3, 1969"
"Marguerite S. Church","Republican","Illinois's 13th","January 3, 1951-January 3, 1963"
"Ruth Thompson","Republican","Michigan's 9th","January 3, 1951-January 3, 1957"
"Elizabeth Kee","Democratic","West Virginia's 5th","July 17, 1951-January 3, 1965"
"Vera Buchanan","Democratic","Pennsylvania's 33rd","July 24, 1951-January 3, 1953"
"Vera Buchanan","Democratic","Pennsylvania's 30th","January 3, 1953-November 26, 1955"
"Gracie Pfost","Democratic","Idaho's 1st","January 3, 1953-January 3, 1963"
"Leonor Sullivan","Democratic","Missouri's 3rd","January 3, 1953-January 3, 1977"
"Mary Elizabeth Pruett Farrington","Republican","Hawaii Territory's At-large","July 31, 1954-January 3, 1957"
"Iris Faircloth Blitch","Democratic","Georgia's 8th","January 3, 1955-January 3, 1963"
"Edith Green","Democratic","Oregon's 3rd","January 3, 1955-December 31, 1974"
"Martha Griffiths","Democratic","Michigan's 17th","January 3, 1955-December 31, 1974"
"Coya Knutson","Democratic","Minnesota's 9th","January 3, 1955-January 3, 1959"
"Kathryn E. Granahan","Democratic","Pennsylvania's 2nd","November 6, 1956-January 3, 1963"
"Florence P. Dwyer","Republican","New Jersey's 6th","January 3, 1957-January 3, 1967"
"Florence P. Dwyer","Republican","New Jersey's 12th","January 3, 1967-January 3, 1973"
"Catherine Dean May","Republican","Washington's 4th","January 3, 1959-January 3, 1971"
"Edna O. Simpson","Republican","Illinois's 20th","January 3, 1959-January 3, 1961"
"Jessica M. Weis","Republican","New York's 38th","January 3, 1959-January 3, 1963"
"Julia Butler Hansen","Democratic","Washington's 3rd","November 8, 1960-December 31, 1974"
"Catherine Dorris Norrell","Democratic","Arkansas's 6th","April 19, 1961-January 3, 1963"
"Louise Goff Reece","Republican","Tennessee's 1st","May 16, 1961-January 3, 1963"
"Corinne Boyd Riley","Democratic","South Carolina's 2nd","April 10, 1962-January 3, 1963"
"Charlotte Thompson Reid","Republican","Illinois's 15th","January 3, 1963-October 7, 1971"
"Irene Baker","Republican","Tennessee's 2nd","January 7, 1964-January 3, 1965"
"Patsy Mink","Democratic","Hawaii's at-large","January 3, 1965-January 3, 1971"
"Patsy Mink","Democratic","Hawaii's 2nd","January 3, 1971-January 3, 1977"
"Lera Millard Thomas","Democratic","Texas's 8th","March 26, 1966-January 3, 1967"
"Margaret Heckler","Republican","Massachusetts's 10th","January 3, 1967-January 3, 1983"
"Shirley Chisholm","Democratic","New York's 12th","January 3, 1969-January 3, 1983"
"Bella Abzug","Democratic","New York's 19th","January 3, 1971-January 3, 1973"
"Bella Abzug","Democratic","New York's 20th","January 3, 1973-January 3, 1977"
"Ella T. Grasso","Democratic","Connecticut's 6th","January 3, 1971-January 3, 1975"
"Louise Day Hicks","Democratic","Massachusetts's 9th","January 3, 1971-January 3, 1973"
"Elizabeth B. Andrews","Democratic","Alabama's 3rd","April 4, 1972–January 3, 1973"
"Yvonne Brathwaite Burke","Democratic","California's 37th","January 3, 1973-January 3, 1975"
"Yvonne Brathwaite Burke","Democratic","California's 28th","January 3, 1975-January 3, 1979"
"Marjorie Holt","Republican","Maryland's 4th","January 3, 1973-January 3, 1987"
"Elizabeth Holtzman","Democratic","New York's 16th","January 3, 1973-January 3, 1981"
"Barbara Jordan","Democratic","Texas's 18th","January 3, 1973-January 3, 1979"
"Patricia Schroeder","Democratic","Colorado's 1st","January 3, 1973-January 3, 1997"
"Lindy Boggs","Democratic","Louisiana's 2nd","March 20, 1973-January 3, 1991"
"Cardiss Collins","Democratic","Illinois's 7th","June 5, 1973-January 3, 1997"
"Millicent Fenwick","Republican","New Jersey's 5th","January 3, 1975-January 3, 1983"
"Martha Keys","Democratic","Kansas's 2nd","January 3, 1975-January 3, 1979"
"Marilyn Lloyd","Democratic","Tennessee's 3rd","January 3, 1975-January 3, 1995"
"Helen Stevenson Meyner","Democratic","New Jersey's 13th","January 3, 1975-January 3, 1979"
"Virginia D. Smith","Republican","Nebraska's 3rd","January 3, 1975-January 3, 1991"
"Gladys Spellman","Democratic","Marylands's 5th","January 3, 1975-January 3, 1981"
"Shirley Neil Pettis","Republican","California's 37th","April 29, 1975-January 3, 1979"
