Candidate,House.Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check.Column,PartyVar,NewEngland,MidAtlantic,ENCentral,WNCentral,SouthAtlantic,ESCentral,WSCentral,MountainWest,Pacific,CheckVar,Northeast,Midwest,South,West,PerUrban,CheckCandidate
"CAIN, EMILY ANN",H,ME,2,DEM,OPEN,2014,female,1,22.51655629,democrat,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,27.89,"CAIN, EMILY ANN"
"JACKSON, TROY",H,ME,2,DEM,OPEN,2014,male,0,22.51655629,democrat,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,27.89,"JACKSON, TROY"
"SMITH, ALDEN",H,ME,2,DEM,OPEN,2014,male,0,22.51655629,democrat,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,27.89,"SMITH, ALDEN"
"HAWES, LEIGH M",H,ME,2,REP,OPEN,2014,female,1,8.609271523,republican,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,27.89,"HAWES, LEIGH M"
"POLIQUIN, BRUCE L",H,ME,2,REP,OPEN,2014,male,0,8.609271523,republican,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,27.89,"POLIQUIN, BRUCE L"
"RAYE, KEVIN L.",H,ME,2,REP,OPEN,2014,male,0,8.609271523,republican,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,27.89,"RAYE, KEVIN L."
"WILLETTE, ALEXANDER REGINALD",H,ME,2,REP,OPEN,2014,male,0,8.609271523,republican,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,27.89,"WILLETTE, ALEXANDER REGINALD"
"GILLARD, MATTHEW OLSON",H,MI,1,DEM,OPEN,2010,male,0,20,democrat,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"GILLARD, MATTHEW OLSON"
"MCDOWELL, GARY J.",H,MI,1,DEM,OPEN,2010,male,0,20,democrat,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"MCDOWELL, GARY J."
"SALTONSTALL, CONNIE",H,MI,1,DEM,OPEN,2010,female,1,20,democrat,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"SALTONSTALL, CONNIE"
"SHELTROWN, JOEL ",H,MI,1,DEM,OPEN,2010,male,0,20,democrat,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"SHELTROWN, JOEL "
"ALLEN, JASON EDWARD",H,MI,1,REP,OPEN,2010,male,0,5.454545455,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"ALLEN, JASON EDWARD"
"ALLEN, JASON EDWARD",H,MI,1,REP,OPEN,2016,male,0,8.181818182,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"ALLEN, JASON EDWARD"
"BENISHEK, DANIEL J",H,MI,1,REP,OPEN,2010,male,0,5.454545455,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"BENISHEK, DANIEL J"
"DONLON, PATRICK",H,MI,1,REP,OPEN,2010,male,0,5.454545455,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"DONLON, PATRICK"
"GOLDTHORPE, LINDA J",H,MI,1,REP,OPEN,2010,female,1,5.454545455,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"GOLDTHORPE, LINDA J"
"HOOPER, DON",H,MI,1,REP,OPEN,2010,male,0,5.454545455,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"HOOPER, DON"
"STILLINGS, THOMAS F",H,MI,1,REP,OPEN,2010,male,0,5.454545455,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33.42,"STILLINGS, THOMAS F"
"DANKS BURKE, LESLIE",H,NY,23,DEM,OPEN,2012,female,1,19.33333333,democrat,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,34.79,"DANKS BURKE, LESLIE"
"MCGRATH, BRIAN",H,NY,23,DEM,OPEN,2010,male,0,23.33333333,democrat,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,34.79,"MCGRATH, BRIAN"
"CAGE, ERICKE",H,VA,5,DEM,OPEN,2016,female,1,14,democrat,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,35.3,"CAGE, ERICKE"
"DITTMAR, JANE DESIMONE",H,VA,5,DEM,OPEN,2016,female,1,14,democrat,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,35.3,"DITTMAR, JANE DESIMONE"
"DEL ROSSO, MICHAEL JOSEPH MR.",H,VA,5,REP,OPEN,2016,male,0,4,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,35.3,"DEL ROSSO, MICHAEL JOSEPH MR."
"GARRETT, THOMAS ALEXANDER MR. JR.",H,VA,5,REP,OPEN,2016,male,0,4,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,35.3,"GARRETT, THOMAS ALEXANDER MR. JR."
"MCKELVEY, JAMES K",H,VA,5,REP,OPEN,2016,male,0,4,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,35.3,"MCKELVEY, JAMES K"
"WHITED, JOE",H,VA,5,REP,OPEN,2016,male,0,4,republican,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,35.3,"WHITED, JOE"
"CORN, KENNETH RAY",H,OK,2,DEM,OPEN,2012,male,0,3.96039604,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.51,"CORN, KENNETH RAY"
"EVERETT, EARL EARL",H,OK,2,DEM,OPEN,2012,male,0,3.96039604,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.51,"EVERETT, EARL EARL"
"HERRIMAN, CARROLL WAYNE",H,OK,2,DEM,OPEN,2012,male,0,3.96039604,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.51,"HERRIMAN, CARROLL WAYNE"
"WALLACE, ROB",H,OK,2,DEM,OPEN,2012,male,0,3.96039604,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.51,"WALLACE, ROB"
"FAUGHT, GEORGE E",H,OK,2,REP,OPEN,2012,male,0,9.900990099,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.51,"FAUGHT, GEORGE E"
"MULLIN, MARKWAYNE",H,OK,2,REP,OPEN,2012,male,0,9.900990099,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.51,"MULLIN, MARKWAYNE"
"PETTIGREW, WAYNE",H,OK,2,REP,OPEN,2012,male,0,9.900990099,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.51,"PETTIGREW, WAYNE"
"ROWE, DUSTIN PRICE",H,OK,2,REP,OPEN,2012,male,0,9.900990099,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.51,"ROWE, DUSTIN PRICE"
"THOMPSON, DONALD DWAYNE",H,OK,2,REP,OPEN,2012,male,0,9.900990099,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.51,"THOMPSON, DONALD DWAYNE"
"WOOD, DAKOTA LEE",H,OK,2,REP,OPEN,2012,female,1,9.900990099,republican,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.51,"WOOD, DAKOTA LEE"
"KEHOE, JOHN PATRICK MR.",H,NY,19,DEM,OPEN,2016,male,0,24.66666667,democrat,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,36.51,"KEHOE, JOHN PATRICK MR."
"TEACHOUT, ZEPHYR",H,NY,19,DEM,OPEN,2016,female,1,24.66666667,democrat,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,36.51,"TEACHOUT, ZEPHYR"
"YANDIK, WILL",H,NY,19,DEM,OPEN,2016,male,0,24.66666667,democrat,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,36.51,"YANDIK, WILL"
"BISHOP, BOB",H,NY,19,REP,OPEN,2016,male,0,3.333333333,republican,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,36.51,"BISHOP, BOB"
"FASO, JOHN J. MR.",H,NY,19,REP,OPEN,2016,male,0,3.333333333,republican,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,36.51,"FASO, JOHN J. MR."
"HEANEY, ANDREW",H,NY,19,REP,OPEN,2016,male,0,3.333333333,republican,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,36.51,"HEANEY, ANDREW"
"LOPEZ, PETER D",H,NY,19,REP,OPEN,2016,male,0,3.333333333,republican,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,36.51,"LOPEZ, PETER D"
"CANNON, NELSON JEROME",H,MI,1,DEM,OPEN,2016,male,0,15.45454545,democrat,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,36.58,"CANNON, NELSON JEROME"
"CASPERSON, TOM",H,MI,1,REP,OPEN,2016,male,0,8.181818182,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,36.58,"CASPERSON, TOM"
"HOLMES, JEFF",H,MI,4,DEM,OPEN,2014,male,0,14.54545455,democrat,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,36.67,"HOLMES, JEFF"
"KONETCHY, PETER D",H,MI,4,REP,OPEN,2014,male,0,7.272727273,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,36.67,"KONETCHY, PETER D"
"MITCHELL, PAUL III",H,MI,4,REP,OPEN,2014,male,0,7.272727273,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,36.67,"MITCHELL, PAUL III"
"MITCHELL, PAUL III",H,MI,10,REP,OPEN,2016,male,0,8.181818182,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,36.67,"MITCHELL, PAUL III"
"MOOLENAAR, JOHN",H,MI,4,REP,OPEN,2014,male,0,7.272727273,republican,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,36.67,"MOOLENAAR, JOHN"
"GASKINS, SAMUEL LEWIS",H,KY,1,DEM,OPEN,2016,male,0,10,democrat,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,36.88,"GASKINS, SAMUEL LEWIS"
"OSBORNE, TOM",H,KY,1,DEM,OPEN,2016,male,0,10,democrat,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,36.88,"OSBORNE, TOM"
"BATTS, JASON",H,KY,1,REP,OPEN,2016,male,0,8,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,36.88,"BATTS, JASON"
"CAUGHEY, MILES A",H,KY,1,REP,OPEN,2016,male,0,8,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,36.88,"CAUGHEY, MILES A"
"COMER, JAMES",H,KY,1,REP,OPEN,2016,male,0,8,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,36.88,"COMER, JAMES"
"PAPE, MICHAEL J",H,KY,1,REP,OPEN,2016,male,0,8,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,36.88,"PAPE, MICHAEL J"
"MAHN, DANIEL TODD",H,MO,8,DEM,OPEN,2014,male,0,11.65644172,democrat,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,38.29,"MAHN, DANIEL TODD"
"RICHARDSON, TODD",H,MO,8,REP,OPEN,2014,male,0,11.65644172,republican,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,38.29,"RICHARDSON, TODD"
"SOTELO, PEDRO JUAN",H,MO,8,REP,OPEN,2014,male,0,11.65644172,republican,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,38.29,"SOTELO, PEDRO JUAN"
"CHILDERS, TRAVIS W.",H,MS,1,DEM,OPEN,2008,male,0,13.93442623,democrat,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,38.36,"CHILDERS, TRAVIS W."
"COLEMAN, MARSHALL W",H,MS,1,DEM,OPEN,2008,male,0,13.93442623,democrat,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,38.36,"COLEMAN, MARSHALL W"
"HOLLAND, STEVE",H,MS,1,DEM,OPEN,2008,male,0,13.93442623,democrat,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,38.36,"HOLLAND, STEVE"
"HURT, JAMES K. (KEN)",H,MS,1,DEM,OPEN,2008,male,0,13.93442623,democrat,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,38.36,"HURT, JAMES K. (KEN)"
"NEELY, BRIAN H",H,MS,1,DEM,OPEN,2008,male,0,13.93442623,democrat,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,38.36,"NEELY, BRIAN H"
"MCCULLOUGH, GLENN L JR",H,MS,1,REP,OPEN,2008,male,0,3.278688525,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,38.36,"MCCULLOUGH, GLENN L JR"
"PANG, WALLY",H,MS,1,REP,OPEN,2008,male,0,3.278688525,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,38.36,"PANG, WALLY"
"RUSSELL, RANDY",H,MS,1,REP,OPEN,2008,male,0,3.278688525,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,38.36,"RUSSELL, RANDY"
"EADS, RANDY",H,MS,3,DEM,OPEN,2008,male,0,13.93442623,democrat,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,40.33,"EADS, RANDY"
"GILL, JOEL L",H,MS,3,DEM,OPEN,2008,male,0,13.93442623,democrat,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,40.33,"GILL, JOEL L"
"BROADWATER, JAMES",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,40.33,"BROADWATER, JAMES"
"HARPER, GREGG",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,40.33,"HARPER, GREGG"
"HATCHER, GREGORY WILLIAM",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,40.33,"HATCHER, GREGORY WILLIAM"
"LANDRUM, DAVID",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,40.33,"LANDRUM, DAVID"
"MARCY, WILLIAM (BILL)",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,40.33,"MARCY, WILLIAM (BILL)"
"ROSS, CHARLES EDWIN",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,40.33,"ROSS, CHARLES EDWIN"
"ROUNSAVILLE, JOHN WALTER",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,40.33,"ROUNSAVILLE, JOHN WALTER"
"WITT, JAMES LEE",H,AR,4,DEM,OPEN,2014,male,0,7,democrat,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,40.83,"WITT, JAMES LEE"
